Month,Sunspots
1963-01,19.8
1963-02,24.4
1963-03,17.1
1963-04,29.3
1963-05,43
1963-06,35.9
1963-07,19.6
1963-08,33.2
1963-09,38.8
1963-10,35.3
1963-11,23.4
1963-12,14.9
1964-01,15.3
1964-02,17.7
1964-03,16.5
1964-04,8.6
1964-05,9.5
1964-06,9.1
1964-07,3.1
1964-08,9.3
1964-09,4.7
1964-10,6.1
1964-11,7.4
1964-12,15.1
1965-01,17.5
1965-02,14.2
1965-03,11.7
1965-04,6.8
1965-05,24.1
1965-06,15.9
1965-07,11.9
1965-08,8.9
1965-09,16.8
1965-10,20.1
1965-11,15.8
1965-12,17
1966-01,28.2
1966-02,24.4
1966-03,25.3
1966-04,48.7
1966-05,45.3
1966-06,47.7
1966-07,56.7
1966-08,51.2
1966-09,50.2
1966-10,57.2
1966-11,57.2
1966-12,70.4
1967-01,110.9
1967-02,93.6
1967-03,111.8
1967-04,69.5
1967-05,86.5
1967-06,67.3
1967-07,91.5
1967-08,107.2
1967-09,76.8
1967-10,88.2
1967-11,94.3
1967-12,126.4
1968-01,121.8
1968-02,111.9
1968-03,92.2
1968-04,81.2
1968-05,127.2
1968-06,110.3
1968-07,96.1
1968-08,109.3
1968-09,117.2
1968-10,107.7
1968-11,86
1968-12,109.8
1969-01,104.4
1969-02,120.5
1969-03,135.8
1969-04,106.8
1969-05,120
1969-06,106
1969-07,96.8
1969-08,98
1969-09,91.3
1969-10,95.7
1969-11,93.5
1969-12,97.9
1970-01,111.5
1970-02,127.8
1970-03,102.9
1970-04,109.5
1970-05,127.5
1970-06,106.8
1970-07,112.5
1970-08,93
1970-09,99.5
1970-10,86.6
1970-11,95.2
1970-12,83.5
1971-01,91.3
1971-02,79
1971-03,60.7
1971-04,71.8
1971-05,57.5
1971-06,49.8
1971-07,81
1971-08,61.4
1971-09,50.2
1971-10,51.7
1971-11,63.2
1971-12,82.2
1972-01,61.5
1972-02,88.4
1972-03,80.1
1972-04,63.2
1972-05,80.5
1972-06,88
1972-07,76.5
1972-08,76.8
1972-09,64
1972-10,61.3
1972-11,41.6
1972-12,45.3
1973-01,43.4
1973-02,42.9
1973-03,46
1973-04,57.7
1973-05,42.4
1973-06,39.5
1973-07,23.1
1973-08,25.6
1973-09,59.3
1973-10,30.7
1973-11,23.9
1973-12,23.3
1974-01,27.6
1974-02,26
1974-03,21.3
1974-04,40.3
1974-05,39.5
1974-06,36
1974-07,55.8
1974-08,33.6
1974-09,40.2
1974-10,47.1
1974-11,25
1974-12,20.5
1975-01,18.9
1975-02,11.5
1975-03,11.5
1975-04,5.1
1975-05,9
1975-06,11.4
1975-07,28.2
1975-08,39.7
1975-09,13.9
1975-10,9.1
1975-11,19.4
1975-12,7.8
1976-01,8.1
1976-02,4.3
1976-03,21.9
1976-04,18.8
1976-05,12.4
1976-06,12.2
1976-07,1.9
1976-08,16.4
1976-09,13.5
1976-10,20.6
1976-11,5.2
1976-12,15.3
1977-01,16.4
1977-02,23.1
1977-03,8.7
1977-04,12.9
1977-05,18.6
1977-06,38.5
1977-07,21.4
1977-08,30.1
1977-09,44
1977-10,43.8
1977-11,29.1
1977-12,43.2
1978-01,51.9
1978-02,93.6
1978-03,76.5
1978-04,99.7
1978-05,82.7
1978-06,95.1
1978-07,70.4
1978-08,58.1
1978-09,138.2
1978-10,125.1
1978-11,97.9
1978-12,122.7
1979-01,166.6
1979-02,137.5
1979-03,138
1979-04,101.5
1979-05,134.4
1979-06,149.5
1979-07,159.4
1979-08,142.2
1979-09,188.4
1979-10,186.2
1979-11,183.3
1979-12,176.3
1980-01,159.6
1980-02,155
1980-03,126.2
1980-04,164.1
1980-05,179.9
1980-06,157.3
1980-07,136.3
1980-08,135.4
1980-09,155
1980-10,164.7
1980-11,147.9
1980-12,174.4
1981-01,114
1981-02,141.3
1981-03,135.5
1981-04,156.4
1981-05,127.5
1981-06,90
1981-07,143.8
1981-08,158.7
1981-09,167.3
1981-10,162.4
1981-11,137.5
1981-12,150.1
1982-01,111.2
1982-02,163.6
1982-03,153.8
1982-04,122
1982-05,82.2
1982-06,110.4
1982-07,106.1
1982-08,107.6
1982-09,118.8
1982-10,94.7
1982-11,98.1
1982-12,127
1983-01,84.3
1983-02,51
1983-03,66.5
1983-04,80.7
1983-05,99.2
1983-06,91.1
1983-07,82.2
1983-08,71.8
1983-09,50.3
1983-10,55.8
1983-11,33.3
1983-12,33.4
